대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202501,103,103. 망원역 2번출구 앞,일일권,M,~10대,6,233.23,2.25,9687.79,92
202501,103,103. 망원역 2번출구 앞,일일권,M,기타,5,643.17,5.09,21951.78,231
202501,103,103. 망원역 2번출구 앞,일일권(비회원),,기타,6,456.11,4.11,17719.94,282
202501,103,103. 망원역 2번출구 앞,정기권,,20대,75,2972.73,27.72,119499.38,2137
202501,103,103. 망원역 2번출구 앞,정기권,,30대,85,3601.67,31.74,137925.2,1281
202501,103,103. 망원역 2번출구 앞,정기권,,40대,16,1780.99,16.02,69089.67,522
202501,103,103. 망원역 2번출구 앞,정기권,,50대,23,1102.06,9.37,40285.01,985
202501,103,103. 망원역 2번출구 앞,정기권,,60대,2,59.93,0.54,2328.3,28
202501,103,103. 망원역 2번출구 앞,정기권,,기타,6,246.59,2.56,11005.34,139
202501,103,103. 망원역 2번출구 앞,정기권,F,20대,36,1263.75,11.97,51577.74,626
202501,103,103. 망원역 2번출구 앞,정기권,F,30대,168,9671,92.76,399855.22,6105
202501,103,103. 망원역 2번출구 앞,정기권,F,40대,60,3823.89,39.97,172311.49,1840
202501,103,103. 망원역 2번출구 앞,정기권,F,50대,15,1188.4,11.65,50198.79,459
202501,103,103. 망원역 2번출구 앞,정기권,F,60대,16,488.85,5.06,23535.12,311
202501,103,103. 망원역 2번출구 앞,정기권,F,70대이상,4,77.18,0.88,3821.16,31
202501,103,103. 망원역 2번출구 앞,정기권,F,기타,26,2002.32,20.1,88080.65,737
202501,103,103. 망원역 2번출구 앞,정기권,M,20대,109,7912.61,67.77,292101.49,1824
202501,103,103. 망원역 2번출구 앞,정기권,M,30대,168,12028.71,97.37,421234.8,3885
202501,103,103. 망원역 2번출구 앞,정기권,M,40대,51,2879.26,23.38,100786.42,1488
202501,103,103. 망원역 2번출구 앞,정기권,M,50대,49,2686.93,21.81,94028.51,1764
202501,103,103. 망원역 2번출구 앞,정기권,M,60대,8,1435.37,12.14,52284.85,297
202501,103,103. 망원역 2번출구 앞,정기권,M,기타,10,253.89,2.16,9318.98,54
202501,104,104. 합정역 1번출구 앞,일일권,,20대,18,1588.38,13.79,59443.96,428
202501,104,104. 합정역 1번출구 앞,일일권,,30대,10,1230.95,11.01,47442.34,424
202501,104,104. 합정역 1번출구 앞,일일권,,기타,4,616.08,5.98,25804.67,238
202501,104,104. 합정역 1번출구 앞,일일권,F,20대,19,2306.89,19.9,85791.6,823
202501,104,104. 합정역 1번출구 앞,일일권,F,30대,9,718.32,7.58,32668.94,396
202501,104,104. 합정역 1번출구 앞,일일권,F,40대,4,458.65,4.05,17497.96,168
202501,104,104. 합정역 1번출구 앞,일일권,F,~10대,6,706.82,6.37,27460.93,270
202501,104,104. 합정역 1번출구 앞,일일권,M,20대,19,1540.32,13.93,59977.45,654
202501,104,104. 합정역 1번출구 앞,일일권,M,30대,14,1147.32,9.92,42735.16,409
202501,104,104. 합정역 1번출구 앞,일일권,M,40대,4,329.52,2.62,11325.42,135
202501,104,104. 합정역 1번출구 앞,일일권,M,50대,5,694.32,5.49,23620.1,211
202501,104,104. 합정역 1번출구 앞,일일권,M,60대,1,19.52,0.2,850.0,4
202501,104,104. 합정역 1번출구 앞,일일권,M,~10대,11,1995.42,17.82,76820.02,598
202501,104,104. 합정역 1번출구 앞,일일권,M,기타,3,384.02,3.03,13048.94,94
202501,104,104. 합정역 1번출구 앞,일일권(비회원),,기타,4,208.06,1.87,12364.13,154
202501,104,104. 합정역 1번출구 앞,정기권,,20대,71,3361.69,29.69,127795.88,1815
202501,104,104. 합정역 1번출구 앞,정기권,,30대,60,3362.63,27.69,121918.88,1669
202501,104,104. 합정역 1번출구 앞,정기권,,40대,8,404.14,3.28,14149.7,228
202501,104,104. 합정역 1번출구 앞,정기권,,50대,19,956.99,7.81,33673.8,359
202501,104,104. 합정역 1번출구 앞,정기권,,60대,11,292.05,2.58,11077.27,100
202501,104,104. 합정역 1번출구 앞,정기권,,기타,1,20.54,0.2,864.5,9
202501,104,104. 합정역 1번출구 앞,정기권,F,20대,30,1446.08,14.57,62975.38,548
202501,104,104. 합정역 1번출구 앞,정기권,F,30대,55,2564.46,25.82,111331.88,1376
202501,104,104. 합정역 1번출구 앞,정기권,F,40대,14,593.42,5.83,25202.58,240
202501,104,104. 합정역 1번출구 앞,정기권,F,50대,2,355.83,3.11,13411.11,99
